"#","Question","Option A","Option B","Option C","Option D","Correct Answer","Rationale"
"1","What primary mechanism allows Java to achieve its 'Write Once, Run Anywhere' (WORA) capability?","The compilation of source code directly into native machine instructions for specific operating systems.","The use of a compiler that translates source code into platform-independent bytecode executed by the JVM.","A built-in translator that converts Java syntax into C++ before final execution.","An automatic cloud-based synchronization system that updates code across different devices.","B. The use of a compiler that translates source code into platform-independent bytecode executed by the JVM.","Java's portability stems from compiling to intermediate bytecode that can run on any system equipped with a Java Virtual Machine."
"2","Which of the following best describes the behavior of a 'static' variable in Java?","It is a local variable that can only be accessed within the method it was declared.","It is a variable that is shared across all instances of a class and exists until the program terminates.","It is an instance variable that is uniquely recreated for every object instantiated from the class.","It is a temporary variable used only during the just-in-time (JIT) compilation process.","B. It is a variable that is shared across all instances of a class and exists until the program terminates.","Static variables are class-level variables, meaning only one copy exists for the entire class regardless of how many objects are created."
"3","In the Java Virtual Machine architecture, what is the role of the 'Just-In-Time' (JIT) compiler?","It verifies the bytecode for security vulnerabilities before the program starts.","It converts frequently used bytecode into native machine code to improve runtime performance.","It reclaims memory from unused objects automatically to prevent memory leaks.","It loads .class files from the file system into the runtime data area.","B. It converts frequently used bytecode into native machine code to improve runtime performance.","The JIT compiler optimizes execution by compiling 'hot' sections of bytecode into native instructions for faster processing."
"4","Which primitive data type should be used to store a single 16-bit Unicode character?","String","byte","char","short","C. char","The char data type is specifically designed to hold a single 16-bit character."
"5","What is the result of the arithmetic expression 10 % 3 in a Java program?","3","1","0.333","0","B. 1","The modulus operator returns the remainder; since 10 = (3 × 3) + 1, the remainder is 1."
"6","Which bitwise operator in Java is used to invert all bits of an operand?","Bitwise XOR (∧)","Bitwise NOT (∼)","Bitwise OR (|)","Bitwise AND (&)","B. Bitwise NOT (∼)","The unary NOT operator flips every 0 to 1 and every 1 to 0 in the binary representation."
"7","In a switch statement, what occurs if the 'break' keyword is omitted after a matching case?","The program will throw a compile-time error.","The switch block terminates immediately and moves to the next section of code.","The program executes the current matching case and then 'falls through' to execute subsequent cases.","The default case is executed immediately after the match, regardless of its position.","C. The program executes the current matching case and then 'falls through' to execute subsequent cases.","Without a break, Java continues to execute all code in the following cases until it hits a break or the end of the switch block."
"8","How does the 'do-while' loop differ fundamentally from the 'while' loop?","The 'do-while' loop checks the condition at the beginning of the iteration.","The 'do-while' loop is guaranteed to execute its body at least once, even if the condition is false.","The 'do-while' loop cannot be used with integer-based counters.","The 'do-while' loop automatically increments the loop variable after each pass.","B. The 'do-while' loop is guaranteed to execute its body at least once, even if the condition is false.","Because the condition is evaluated at the end of the block, the first pass through the loop occurs before the check."
"9","What exception is thrown if you attempt to access an array element at an index equal to the array's length?","NullPointerException","ArrayIndexOutOfBoundsException","ArithmeticException","ArrayMismatchException","B. ArrayIndexOutOfBoundsException","Since array indexing starts at 0, the highest valid index is always length - 1; accessing 'length' exceeds the boundary."
"10","Which method should be used to combine two String objects in Java?","append()","concat()","combine()","merge()","B. concat()","The concat() method specifically joins the specified string to the end of the current string."
